species,survey,percent.change,pop.change,French_Name,Scientific_Name,Sort_Order,Index.data.source,Primary.Survey.2017.SOBC.original,nationalalt.All.birds,national.Other.birds,nationalalt.arctic,nationalalt.shrub,nationalalt.suburban,national.Forest.birds,national.Grassland.birds,national.Shorebirds,national.other.wetland.birds,nationalalt.wetland.birds,national.Waterfowl,national.diurnal.raptors,national.Aerial.insectivores,national.Canadian.nesting.Seabirds,nationalalt.range.expansion,grassland.native.grassland,grassland.other,seabirds.Atlantic,seabirds.Pacific,seabirds.alcids,seabirds.nonalcid,seabirds.Arctic,shorebirds.longdistance,shorebirds.other,forest.mature,forest.young,forest.boreal,forest.eastern,forest.western,forest.broad,forestm.Canada,forestm.south.america,forestm.forest.crop.specialists,forestm.Mex.CAm.US,waterfowl.geese,waterfowl.ducks,waterfowl.other.wetland.birds,rapAI.diurnal.raptors,rapAI.Aerial.insectivores,CDN_Status,approximate_percent_change,
Red-breasted Sapsucker,BBS,320,Increase,Pic à poitrine rouge,Sphyrapicus ruber,955,BBS,BBS,Included in group,,,,,Included in group,,,,,,,,,,,,,,,,,,,Included in group,,,,Included in group,,Included in group,,,,,,,,,BRE,321,1
Red-eyed Vireo,BBS,46,Increase,Viréo aux yeux rouges,Vireo olivaceus,1358,BBS,BBS,Included in group,,,,,Included in group,,,,,,,,,,,,,,,,,,,Included in group,,,Included in group,,,,,,Included in group,,,,,,BRE,45.8,-0.2
Red-headed Woodpecker,BBS,-39,Decrease,Pic à tête rouge,Melanerpes erythrocephalus,937,BBS,BBS,Included in group,,,,,Included in group,,,,,,,,,,,,,,,,,,,Included in group,,,Included in group,,,,,,Included in group,,,,,,BRE,-39.2,-0.2
Red-naped Sapsucker,BBS,130,Increase,Pic à nuque rouge,Sphyrapicus nuchalis,954,BBS,BBS,Included in group,,,,,Included in group,,,,,,,,,,,,,,,,,,,,Included in group,,,Included in group,,,,,Included in group,,,,,,BRE,130,0
Red-necked Grebe,CBC NA,56,Increase,Grèbe jougris,Podiceps grisegena,143,CBC NA,CBC NA,Included in group,,,,,,,,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,Included in group,,,BRE,55.8,-0.2
Red-necked Phalarope,NA,NA,NA,Phalarope à bec étroit,Phalaropus lobatus,532,no acceptable data for indicator,in text/expert opinion,Included in group,,,,,,,Included in group,,,,,,,,,,,,,,,,Included in group,,,,,,,,,,,,,,,,BRE,NA,#VALUE!
Red-shouldered Hawk,BBS,76,Increase,Buse à épaulettes,Buteo lineatus,811,BBS,BBS,Included in group,,,,,,,,,,,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,Included in group,,BRE,75.5,-0.5
Red-tailed Hawk,BBS,68,Increase,Buse à queue rousse,Buteo jamaicensis,818,BBS,BBS,Included in group,,,,,,,,,,,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,Included in group,,BRE,68,0
Red-throated Loon,CBC NA,370,Increase,Plongeon catmarin,Gavia stellata,625,CBC NA,CBC NA,Included in group,,,,,,,,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,Included in group,,,BRE,372,2
Red-winged Blackbird,BBS,-3.5,Little Change,Carouge à épaulettes,Agelaius phoeniceus,1925,BBS,BBS,Included in group,,,,,,,,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,Included in group,,,BRE,-3.54,-0.04
Red Crossbill,BBS,170,Increase,Bec-croisé des sapins,Loxia curvirostra,1756,BBS,BBS,Included in group,,,,,Included in group,,,,,,,,,,,,,,,,,,,Included in group,,,Included in group,,,Included in group,,Included in group,,,,,,,BRE,165,-5
Red Knot,Shorebird,-90,Decrease,Bécasseau maubèche,Calidris canutus,484,Shorebird,Shorebird,Included in group,,,,,,,Included in group,,,,,,,,,,,,,,,Included in group,,,,,,,,,,,,,,,,,BRE,-89.7,0.3
Red Phalarope,NA,NA,NA,Phalarope à bec large,Phalaropus fulicarius,533,no acceptable data for indicator,NA,Included in group,,,,,,,Included in group,,,,,,,,,,,,,,,,Included in group,,,,,,,,,,,,,,,,BRE,NA,#VALUE!
Redhead,Western Waterfowl,110,Increase,Fuligule à tête rouge,Aythya americana,54,Western Waterfowl,Western Waterfowl,Included in group,,,,,,,,,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,Included in group,,,,BRE,105,-5
Rhinoceros Auklet,Colony Counts West,-5.4,Little Change,Macareux rhinocéros,Cerorhinca monocerata,560,Colony Counts West,Colony Counts West,Included in group,,,,,,,,,,,,,Included in group,,,,,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,BRE,-5.41,-0.01
Ring-billed Gull,BBS,290,Increase,Goéland à bec cerclé,Larus delawarensis,581,BBS,BBS,Included in group,,,,,,,,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,Included in group,,,BRE,292,2
Ring-necked Duck,Western Waterfowl,210,Increase,Fuligule à collier,Aythya collaris,56,Western Waterfowl,Western Waterfowl,Included in group,,,,,,,,,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,Included in group,,,,BRE,214,4
Ring-necked Pheasant,NA,NA,NA,Faisan de Colchide,Phasianus colchicus,122,BBS,BBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRE_Intr,-19.2,#VALUE!
Rock Pigeon,NA,NA,NA,Pigeon biset,Columba livia,148,BBS,BBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRE_Intr,39.3,#VALUE!
Rock Ptarmigan,NA,NA,NA,Lagopède alpin,Lagopus muta,129,no acceptable data for indicator,NA,Included in group,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRE,NA,#VALUE!
Rock Sandpiper,CBC NA,240,Increase,Bécasseau des Aléoutiennes,Calidris ptilocnemis,497,CBC NA,CBC NA,Included in group,,,,,,,Included in group,,,,,,,,,,,,,,,,Included in group,,,,,,,,,,,,,,,,RNB,237,-3
Rock Wren,BBS,-11,Little Change,Troglodyte des rochers,Salpinctes obsoletus,1452,BBS,BBS,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRE,-11.3,-0.3
