species,survey,percent.change,pop.change,French_Name,Scientific_Name,Sort_Order,Index.data.source,Primary.Survey.2017.SOBC.original,nationalalt.All.birds,national.Other.birds,nationalalt.arctic,nationalalt.shrub,nationalalt.suburban,national.Forest.birds,national.Grassland.birds,national.Shorebirds,national.other.wetland.birds,nationalalt.wetland.birds,national.Waterfowl,national.diurnal.raptors,national.Aerial.insectivores,national.Canadian.nesting.Seabirds,nationalalt.range.expansion,grassland.native.grassland,grassland.other,seabirds.Atlantic,seabirds.Pacific,seabirds.alcids,seabirds.nonalcid,seabirds.Arctic,shorebirds.longdistance,shorebirds.other,forest.mature,forest.young,forest.boreal,forest.eastern,forest.western,forest.broad,forestm.Canada,forestm.south.america,forestm.forest.crop.specialists,forestm.Mex.CAm.US,waterfowl.geese,waterfowl.ducks,waterfowl.other.wetland.birds,rapAI.diurnal.raptors,rapAI.Aerial.insectivores,CDN_Status,approximate_percent_change,
South Polar Skua,NA,NA,NA,Labbe de McCormick,Stercorarius maccormicki,537,no acceptable data for indicator,NA,Included in group,,,,,,,,,,,,,Included in group,,,,Included in group,Included in group,,Included in group,,,,,,,,,,,,,,,,,,,RNB,NA,#VALUE!
Spotted Owl,NA,NA,NA,Chouette tachetée,Strix occidentalis,858,no acceptable data for indicator,"In text, COSEWIC",Included in group,,,,,Included in group,,,,,,,,,,,,,,,,,,,Included in group,,,,Included in group,,Included in group,,,,,,,,,BRE,NA,#VALUE!
Spotted Sandpiper,BBS,-62,Decrease,Chevalier grivelé,Actitis macularius,518,BBS,BBS,Included in group,,,,,,,Included in group,,,,,,,,,,,,,,,,Included in group,,,,,,,,,,,,,,,,BRE,-57.4,4.6
Spotted Towhee,BBS,52,Increase,Tohi tacheté,Pipilo maculatus,1804,BBS,BBS,Included in group,Included in group,,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRE,52.2,0.2
Sprague's Pipit,BBS,-86,Decrease,Pipit de Sprague,Anthus spragueii,1679,BBS,BBS,Included in group,,,,,,Included in group,,,,,,,,,Included in group,,,,,,,,,,,,,,,,,,,,,,,,BRE,-86.5,-0.5
Spruce Grouse,CBC CA,33,Little Change,Tétras du Canada,Falcipennis canadensis,127,CBC CA,CBC CA,Included in group,,,,,Included in group,,,,,,,,,,,,,,,,,,,Included in group,,Included in group,,,,Included in group,,,,,,,,,BRE,33.2,0.2
Steller's Jay,BBS,84,Increase,Geai de Steller,Cyanocitta stelleri,1379,BBS,BBS,Included in group,,,,,Included in group,,,,,,,,,,,,,,,,,,,,,,,Included in group,,Included in group,,,,,,,,,BRE,84.3,0.3
Stilt Sandpiper,Shorebird,-46,Decrease,Bécasseau à échasses,Calidris himantopus,489,Shorebird,Shorebird,Included in group,,,,,,,Included in group,,,,,,,,,,,,,,,Included in group,,,,,,,,,,,,,,,,,BRE,-45.6,0.4
Surf Scoter,NA,NA,NA,Macreuse à front blanc,Melanitta perspicillata,66,no acceptable data for indicator,NA,Included in group,,,,,,,,,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,Included in group,,,,BRE,NA,#VALUE!
Surfbird,CBC NA,-15,Little Change,Bécasseau du ressac,Calidris virgata,485,CBC NA,CBC NA,Included in group,,,,,,,Included in group,,,,,,,,,,,,,,,,Included in group,,,,,,,,,,,,,,,,BRE,-12.7,2.3
Swainson's Hawk,BBS,39,Increase,Buse de Swainson,Buteo swainsoni,816,BBS,BBS,Included in group,,,,,,Included in group,,,,,Included in group,,,,,Included in group,,,,,,,,,,,,,,,,,,,,,Included in group,,BRE,38.7,-0.3
Swainson's Thrush,BBS,1,Little Change,Grive à dos olive,Catharus ustulatus,1581,BBS,BBS,Included in group,,,,,Included in group,,,,,,,,,,,,,,,,,,,Included in group,,Included in group,,,,,Included in group,,,,,,,,BRE,1.02,0.02
Swamp Sparrow,BBS,23,Little Change,Bruant des marais,Melospiza georgiana,1853,BBS,BBS,Included in group,,,,,,,,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,Included in group,,,BRE,22.6,-0.4
Tennessee Warbler,BBS,-39,Decrease,Paruline obscure,Oreothlypis peregrina,1958,BBS,BBS,Included in group,,,,,Included in group,,,,,,,,,,,,,,,,,,,,Included in group,Included in group,,,,,,,Included in group,,,,,,BRE,-39.2,-0.2
Thick-billed Murre,Colony Counts Atlantic,5.5,Little Change,Guillemot de Brünnich,Uria lomvia,543,Colony Counts Atlantic,Colony Counts Atlantic,Included in group,,,,,,,,,,,,,Included in group,,,,Included in group,,Included in group,,Included in group,,,,,,,,,,,,,,,,,,BRE,0.305,-5.195
Townsend's Solitaire,BBS,31,Little Change,Solitaire de Townsend,Myadestes townsendi,1558,BBS,BBS,Included in group,,,,,Included in group,,,,,,,,,,,,,,,,,,,,Included in group,,,Included in group,,,,,Included in group,,,,,,BRE,31.2,0.2
Townsend's Warbler,BBS,32,Little Change,Paruline de Townsend,Setophaga townsendi,2009,BBS,BBS,Included in group,,,,,Included in group,,,,,,,,,,,,,,,,,,,Included in group,,,,Included in group,,,,,Included in group,,,,,,BRE,32.1,0.1
Tree Swallow,BBS,-40,Decrease,Hirondelle bicolore,Tachycineta bicolor,1418,BBS,BBS,Included in group,,,,,,,,,,,,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,Included in group,BRE,-40.5,-0.5
Trumpeter Swan,Trumpeter Swan surveys,18000,Increase,Cygne trompette,Cygnus buccinator,26,Trumpeter Swan surveys,Trumpeter Swan surveys,Included in group,,,,,,,,,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRE,17900,-100
Tufted Puffin,Colony Counts West,-6.3,Little Change,Macareux huppé,Fratercula cirrhata,563,Colony Counts West,Colony Counts West,Included in group,,,,,,,,,,,,,Included in group,,,,,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,BRE,-6.3,0
Tufted Titmouse,NA,NA,NA,Mésange bicolore,Baeolophus bicolor,1443,no acceptable data for indicator,Atlas ON,Included in group,,,,,Included in group,,,,,,,,,,,,,,,,,,,,,,Included in group,,,Included in group,,,,,,,,,BRE,NA,#VALUE!
Tundra Swan,Winter Waterfowl,17,Little Change,Cygne siffleur,Cygnus columbianus,27,Winter Waterfowl,Winter Waterfowl,Included in group,,,,,,,,,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRE,17.4,0.4
Turkey Vulture,BBS,2800,Increase,Urubu à tête rouge,Cathartes aura,765,BBS,BBS,Included in group,,,,,,,,,,,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,Included in group,,BRE,2820,20
Upland Sandpiper,BBS,56,Increase,Maubèche des champs,Bartramia longicauda,468,BBS,BBS,Included in group,,,,,,Included in group,Included in group,,,,,,,,,Included in group,,,,,,,Included in group,,,,,,,,,,,,,,,,BRE,35,-21
Varied Thrush,BBS,30,Little Change,Grive à collier,Ixoreus naevius,1607,BBS,BBS,Included in group,,,,,Included in group,,,,,,,,,,,,,,,,,,,Included in group,,,,Included in group,,,,Included in group,Included in group,,,,,,BRE,29.8,-0.2
Vaux's Swift,BBS,-35,Decrease,Martinet de Vaux,Chaetura vauxi,260,BBS,BBS,Included in group,,,,,Included in group,,,,,,,Included in group,,,,,,,,,,,,Included in group,,,,Included in group,,,,,Included in group,,,,,Included in group,BRE,-35.4,-0.4
Veery,BBS,-21,Little Change,Grive fauve,Catharus fuscescens,1578,BBS,BBS,Included in group,,,,,Included in group,,,,,,,,,,,,,,,,,,,,,,Included in group,,,,Included in group,,,,,,,,BRE,-20.9,0.1
Vesper Sparrow,BBS,-61,Decrease,Bruant vespéral,Pooecetes gramineus,1834,BBS,BBS,Included in group,,,,,,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRE,-61.4,-0.4
Violet-green Swallow,BBS,-13,Little Change,Hirondelle à face blanche,Tachycineta thalassina,1421,BBS,BBS,Included in group,,,,,,,,,,,,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,Included in group,BRE,-13.3,-0.3
Virginia Rail,BBS,40,Increase,Râle de Virginie,Rallus limicola,412,BBS,BBS,Included in group,,,,,,,,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,Included in group,,,BRE,39.5,-0.5
Wandering Tattler,CBC NA,-85,Decrease,Chevalier errant,Tringa incana,522,CBC NA,CBC NA,Included in group,,,,,,,Included in group,,,,,,,,,,,,,,,,Included in group,,,,,,,,,,,,,,,,BRE,-89,-4
Warbling Vireo,BBS,49,Increase,Viréo mélodieux,Vireo gilvus,1356,BBS,BBS,Included in group,,,,,Included in group,,,,,,,,,,,,,,,,,,,,,,Included in group,,,,,,Included in group,,,,,,BRE,49.5,0.5
Western Bluebird,BBS,600,Increase,Merlebleu de l'Ouest,Sialia mexicana,1556,BBS,BBS,Included in group,,,,,Included in group,,,,,,,,,,,,,,,,,,,,,,,Included in group,,,,,Included in group,,,,,,BRE,602,2
Western Grebe,CBC NA,38,Increase,Grèbe élégant,Aechmophorus occidentalis,145,CBC NA,CBC NA,Included in group,,,,,,,,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,Included in group,,,BRE,38.2,0.2
Western Gull,NA,NA,NA,Goéland d'Audubon,Larus occidentalis,582,no acceptable data for indicator,Atlas BC,Included in group,,,,,,,,,,,,,Included in group,,,,,Included in group,,Included in group,,,,,,,,,,,,,,,,,,,BRE,NA,#VALUE!
Western Kingbird,BBS,7.4,Little Change,Tyran de l'Ouest,Tyrannus verticalis,1278,BBS,BBS,Included in group,,,,,,Included in group,,,,,,,,,,Included in group,,,,,,,,,,,,,,,,,,,,,,,BRE,7.39,-0.01
Western Meadowlark,BBS,-53,Decrease,Sturnelle de l'Ouest,Sturnella neglecta,1888,BBS,BBS,Included in group,,,,,,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRE,-53.4,-0.4
Western Sandpiper,CBC NA,-52,Decrease,Bécasseau d'Alaska,Calidris mauri,506,CBC NA,CBC NA,Included in group,,,,,,,Included in group,,,,,,,,,,,,,,,Included in group,,,,,,,,,,,,,,,,,RNB,-53.7,-1.7
Western Screech-Owl,NA,NA,NA,Petit-duc des montagnes,Megascops kennicottii,831,no acceptable data for indicator,NA,Included in group,,,,,Included in group,,,,,,,,,,,,,,,,,,,Included in group,,,,Included in group,,Included in group,,,,,,,,,BRE,NA,#VALUE!
Western Tanager,BBS,38,Increase,Piranga à tête rouge,Piranga ludoviciana,2035,BBS,BBS,Included in group,,,,,Included in group,,,,,,,,,,,,,,,,,,,Included in group,,,,Included in group,,,,,Included in group,,,,,,BRE,38.4,0.4
Western Wood-Pewee,BBS,-53,Decrease,Pioui de l'Ouest,Contopus sordidulus,1213,BBS,BBS,Included in group,,,,,Included in group,,,,,,,Included in group,,,,,,,,,,,,,,,,Included in group,,,Included in group,,,,,,,Included in group,BRE,-53.3,-0.3
Whimbrel,Shorebird,-59,Decrease,Courlis corlieu,Numenius phaeopus,470,Shorebird,Shorebird,Included in group,,,,,,,Included in group,,,,,,,,,,,,,,,Included in group,,,,,,,,,,,,,,,,,BRE,-58.7,0.3
White-breasted Nuthatch,BBS,180,Increase,Sittelle à poitrine blanche,Sitta carolinensis,1448,BBS,BBS,Included in group,,,,,Included in group,,,,,,,,,,,,,,,,,,,,,,Included in group,,,Included in group,,,,,,,,,BRE,178,-2
White-crowned Sparrow,BBS,-76,Decrease,Bruant à couronne blanche,Zonotrichia leucophrys,1857,BBS,BBS,Included in group,Included in group,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRE,-75.8,0.2
White-eyed Vireo,NA,NA,NA,Viréo aux yeux blancs,Vireo griseus,1338,no acceptable data for indicator,Atlas ON,Included in group,Included in group,,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRE,NA,#VALUE!
White-faced Ibis,NA,NA,NA,Ibis à face blanche,Plegadis chihi,759,no acceptable data for indicator,in text,Included in group,,,,,,,,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,Included in group,,,BRE_OCC,NA,#VALUE!
White-headed Woodpecker,NA,NA,NA,Pic à tête blanche,Picoides albolarvatus,966,no acceptable data for indicator,In text,Included in group,,,,,Included in group,,,,,,,,,,,,,,,,,,,Included in group,,,,Included in group,,Included in group,,,,,,,,,BRE_OCC,NA,#VALUE!
White-rumped Sandpiper,Shorebird,48,Increase,Bécasseau à croupion blanc,Calidris fuscicollis,502,Shorebird,Shorebird,Included in group,,,,,,,Included in group,,,,,,,,,,,,,,,Included in group,,,,,,,,,,,,,,,,,BRE,48.1,0.1
White-tailed Ptarmigan,CBC NA,-34,Decrease,Lagopède à queue blanche,Lagopus leucura,130,CBC NA,CBC NA,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRE,-33.9,0.1
White-throated Sparrow,CBC NA,-56,Decrease,Bruant à gorge blanche,Zonotrichia albicollis,1855,CBC NA,CBC NA,Included in group,,,,,Included in group,,,,,,,,,,,,,,,,,,,,Included in group,Included in group,,,,,,,Included in group,,,,,,BRE,-55.9,0.1
White-throated Swift,NA,NA,NA,Martinet à gorge blanche,Aeronautes saxatalis,273,no acceptable data for indicator,"In text, BC Atlas",Included in group,,,,,,,,,,,,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,Included in group,BRE,NA,#VALUE!
White-winged Crossbill,CBC NA,-50,Decrease,Bec-croisé bifascié,Loxia leucoptera,1759,CBC NA,CBC NA,Included in group,,,,,Included in group,,,,,,,,,,,,,,,,,,,Included in group,,Included in group,,,,Included in group,,Included in group,,,,,,,BRE,-50.4,-0.4
White-winged Scoter,NA,NA,NA,Macreuse brune,Melanitta fusca,67,no acceptable data for indicator,NA,Included in group,,,,,,,,,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,Included in group,,,,BRE,NA,#VALUE!
Whooping Crane,WHCR surveys,560,Increase,Grue blanche,Grus americana,439,WHCR surveys,WHCR surveys,Included in group,,,,,,,,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,Included in group,,,BRE,560,0
Wild Turkey,NA,NA,NA,Dindon sauvage,Meleagris gallopavo,136,BBS,BBS,,,,,,,,,,,,,,,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,BRE,6890,#VALUE!
Willet,BBS,-32,Decrease,Chevalier semipalmé,Tringa semipalmata,524,BBS,BBS,Included in group,,,,,,Included in group,Included in group,,,,,,,,,Included in group,,,,,,,Included in group,,,,,,,,,,,,,,,,BRE,-33.2,-1.2
Williamson's Sapsucker,NA,NA,NA,Pic de Williamson,Sphyrapicus thyroideus,952,no acceptable data for indicator,COSEWIC,Included in group,,,,,Included in group,,,,,,,,,,,,,,,,,,,,Included in group,,,Included in group,,,,,Included in group,,,,,,BRE,NA,#VALUE!
Willow Flycatcher,BBS,-54,Decrease,Moucherolle des saules,Empidonax traillii,1223,BBS,BBS,Included in group,,,,,Included in group,,,,,,,,,,,,,,,,,,,,Included in group,,,,,,,,Included in group,,,,,,BRE,-53.9,0.1
Willow Ptarmigan,CBC CA,-89,Decrease,Lagopède des saules,Lagopus lagopus,128,CBC CA,CBC CA,Included in group,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRE,-88.9,0.1
Wilson's Phalarope,BBS,60,Increase,Phalarope de Wilson,Phalaropus tricolor,531,BBS,BBS,Included in group,,,,,,,Included in group,,,,,,,,,,,,,,,,Included in group,,,,,,,,,,,,,,,,BRE,63,3
Wilson's Snipe,BBS,89,Increase,Bécassine de Wilson,Gallinago delicata,515,BBS,BBS,Included in group,,,,,,,Included in group,,,,,,,,,,,,,,,,Included in group,,,,,,,,,,,,,,,,BRE,23.8,-65.2
Wilson's Storm-Petrel,NA,NA,NA,Océanite de Wilson,Oceanites oceanicus,685,no acceptable data for indicator,NA,Included in group,,,,,,,,,,,,,Included in group,,,,Included in group,Included in group,,Included in group,,,,,,,,,,,,,,,,,,,RNB,NA,#VALUE!
Wilson's Warbler,BBS,-22,Little Change,Paruline à calotte noire,Cardellina pusilla,2023,BBS,BBS,Included in group,,,,,Included in group,,,,,,,,,,,,,,,,,,,,Included in group,Included in group,,,,,,,Included in group,,,,,,BRE,-22,0
Winter Wren,BBS,3.2,Little Change,Troglodyte des forêts,Troglodytes hiemalis,1465,BBS,BBS,Included in group,,,,,Included in group,,,,,,,,,,,,,,,,,,,Included in group,,Included in group,,,,,,,Included in group,,,,,,BRE,3.21,0.01
Wood Duck,Southern Ontario,470,Increase,Canard branchu,Aix sponsa,34,Southern Ontario,Southern Ontario,Included in group,,,,,,,,,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,Included in group,,,,BRE,474,4
Wood Thrush,BBS,-73,Decrease,Grive des bois,Hylocichla mustelina,1583,BBS,BBS,Included in group,,,,,Included in group,,,,,,,,,,,,,,,,,,,Included in group,,,Included in group,,,,,,Included in group,,,,,,BRE,-72.5,0.5
Worm-eating Warbler,NA,NA,NA,Paruline vermivore,Helmitheros vermivorum,1947,no acceptable data for indicator,NA,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RNB,NA,#VALUE!
Yellow-bellied Flycatcher,BBS,61,Increase,Moucherolle à ventre jaune,Empidonax flaviventris,1220,BBS,BBS,Included in group,,,,,Included in group,,,,,,,,,,,,,,,,,,,,Included in group,Included in group,,,,,,,Included in group,,,,,,BRE,60.6,-0.4
Yellow-bellied Sapsucker,BBS,7.1,Little Change,Pic maculé,Sphyrapicus varius,953,BBS,BBS,Included in group,,,,,Included in group,,,,,,,,,,,,,,,,,,,,Included in group,,Included in group,,,,,,Included in group,,,,,,BRE,7.14,0.04
Yellow-billed Cuckoo,BBS,-19,Little Change,Coulicou à bec jaune,Coccyzus americanus,204,BBS,BBS,Included in group,,,,,Included in group,,,,,,,,,,,,,,,,,,,,Included in group,,Included in group,,,,Included in group,,,,,,,,BRE,-19.2,-0.2
Yellow-billed Loon,CBC NA,-87,Decrease,Plongeon à bec blanc,Gavia adamsii,629,CBC NA,CBC NA,Included in group,,,,,,,,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,Included in group,,,BRE,-86.8,0.2
Yellow-breasted Chat,BBS,7.9,Little Change,Ictérie polyglotte,Icteria virens,1884,BBS,BBS,Included in group,Included in group,,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRE,7.94,0.04
Yellow-headed Blackbird,BBS,110,Increase,Carouge à tête jaune,Xanthocephalus xanthocephalus,1885,BBS,BBS,Included in group,,,,,,,,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,Included in group,,,BRE,108,-2
Yellow-rumped Warbler,BBS,55,Increase,Paruline à croupion jaune,Setophaga coronata,1999,BBS,BBS,Included in group,,,,,Included in group,,,,,,,,,,,,,,,,,,,Included in group,,,Included in group,,,,,,Included in group,,,,,,BRE,54.6,-0.4
Yellow-throated Vireo,BBS,47,Increase,Viréo à gorge jaune,Vireo flavifrons,1350,BBS,BBS,Included in group,,,,,Included in group,,,,,,,,,,,,,,,,,,,Included in group,,,Included in group,,,,,,Included in group,,,,,,BRE,47.1,0.1
Yellow Rail,NA,NA,NA,Râle jaune,Coturnicops noveboracensis,400,no acceptable data for indicator,DD,Included in group,,,,,,,,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,Included in group,,,BRE,NA,#VALUE!
Yellow Warbler,BBS,-17,Little Change,Paruline jaune,Setophaga petechia,1992,BBS,BBS,Included in group,Included in group,,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRE,-17.1,-0.1
